TY  -,`STAND`
AB  -,Abstract
AD  -,Author Address
AN  -,Accession Number
AU  -,Institution
CA  -,Caption
CN  -,Call Number
CY  -,Place Published
DA  -,Date
DB  -,Name of Database
DO  -,DOI
DP  -,Database Provider
J2  -,Abbreviation
KW  -,Keywords
L1  -,File Attachments
L4  -,Figure
LA  -,Language
LB  -,Label
M1  -,Start Page
M3  -,Type of Work
N1  -,Notes
NV  -,Session Number
PB  -,Publisher
PY  -,Year
RN  -,Research Notes
SE  -,Section Number
SN  -,Document Number
SP  -,Pages
T2  -,Section Title
T3  -,Paper Number
TA  -,Translated Author
TI  -,Title
TT  -,Translated Title
UR  -,URL
VL  -,Rule Number
Y2  -,Access Date
ER  -,{IGNORE}
